Cor/raça;Quantitativo;Porcentagem;Data de carga
Amarela;1959;0,0035;2025-01-22 15:04:00
Branca;267911;0,4804;2025-01-22 15:04:00
Indígena;2216;0,004;2025-01-22 15:04:00
Não Informado;6365;0,0114;2025-01-22 15:04:00
Não divulgável;279;0,0005;2025-01-22 15:04:00
Parda;220261;0,395;2025-01-22 15:04:00
Preta;58687;0,1052;2025-01-22 15:04:00
