Cor/raça;Quantitativo;Porcentagem;Data de carga
Amarela;1791;0,0039;2025-05-01 16:30:24
Branca;217016;0,4683;2025-05-01 16:30:24
Indígena;2578;0,0056;2025-05-01 16:30:24
Não Informado;2763;0,006;2025-05-01 16:30:24
Não divulgável;46;0,0001;2025-05-01 16:30:24
Parda;186749;0,403;2025-05-01 16:30:24
Preta;52451;0,1132;2025-05-01 16:30:24
